,Designation,Abs Mag,Slope Param,Epoch,Mean anom (deg),Argument of Perihelion (deg),Longitude of Ascending Node (deg),Inclination to Ecliptic (deg),Eccentricity,Mean daily motion (deg/day),Semimajor Axis (AU),Reference,N observation,N oppositions,Readable Designation,Date of last observation
0,01566,16.55,0.15,K2555,336.97137,31.43599,87.95308,22.80382,0.826997,0.88060207,1.0779938,MPO840835,1777,42,(1566) Icarus,2024-07-07
1,01620,15.27,0.15,K2555,71.15106,277.00263,337.14861,13.33584,0.335638,0.70893107,1.2456615,E2024-BE5,8200,41,(1620) Geographos,2024-01-27
2,01862,16.08,0.09,K2555,3.39936,286.02502,35.55705,6.35219,0.5598465,0.55259845,1.4707187,MPO901188,3137,36,(1862) Apollo,2025-03-10
3,01981,15.26,0.15,K2555,342.08157,267.84662,356.79447,39.82316,0.6505192,0.416286,1.7764031,MPO914143,1802,27,(1981) Midas,2025-05-13
4,02101,18.72,0.15,K2555,307.6421,43.70653,349.41209,1.31994,0.7641319,0.38418665,1.8740213,MPO727488,134,11,(2101) Adonis,2020-06-09
5,02102,16.0,0.15,K2555,212.80592,61.5127,94.35193,64.00556,0.2993596,0.67270285,1.2899926,E2024-C06,1772,23,(2102) Tantalus,2023-08-11
6,02135,18.05,0.15,K2555,299.7434,290.98218,191.11053,23.07269,0.5030941,0.48717829,1.5995977,MPO691534,61,12,(2135) Aristaeus,2020-05-30
7,02201,15.34,0.15,K2555,35.71789,98.37464,74.86569,2.52183,0.7106737,0.30647395,2.178748,E2025-M51,1547,36,(2201) Oljato,2025-06-20
8,02340,20.43,0.15,K2555,307.68545,40.11474,211.28615,5.8607,0.4499589,1.27148478,0.8438436,E2024-C37,1299,12,(2340) Hathor,2021-12-05
9,03122,14.08,0.15,K2555,84.44985,27.90027,336.04104,22.14076,0.4231777,0.41888101,1.7690588,E2025-K57,9574,29,(3122) Florence,2025-05-22
10,03200,14.4,0.15,K2555,26.46236,322.30712,265.09382,22.31321,0.8897614,0.68750408,1.2714107,MPO901206,8235,42,(3200) Phaethon,2025-03-07
11,03361,19.56,0.15,K2555,172.54892,302.35442,188.67216,2.66208,0.3229413,0.74009953,1.2104382,MPO840864,2712,18,(3361) Orpheus,2022-06-04
12,03362,18.52,0.15,K2555,200.12313,55.08742,152.40266,9.91588,0.4685159,1.00132278,0.9895095,MPO691557,247,18,(3362) Khufu,2004-11-27
13,03671,16.49,0.15,K2555,191.6936,204.35276,82.04564,13.53859,0.5431039,0.30231191,2.1986995,MPO887340,1122,19,(3671) Dionysus,2024-12-01
14,03757,19.02,0.15,K2555,13.03427,17.23108,74.9271,3.86647,0.445909,0.39666674,1.8345048,MPO840870,173,12,(3757) Anagolay,2024-07-06
15,04015,16.19,0.15,K2555,228.0771,95.52367,266.72279,2.79856,0.6309896,0.23161524,2.6259793,MPO914173,1621,25,(4015) Wilson-Harrington,2025-03-29
16,04034,18.49,0.15,K2555,81.17425,296.69044,157.87237,11.16902,0.4440283,0.9039226,1.0593722,E2025-M29,1262,23,(4034) Vishnu,2025-06-18
17,04179,15.29,0.15,K2555,28.27524,277.86792,125.36494,0.44806,0.6247953,0.2429905,2.5433718,MPO914176,7007,31,(4179) Toutatis,2025-05-08
18,04183,14.16,0.15,K2555,246.64504,237.02286,294.3494,6.66946,0.6361769,0.35357508,1.9806829,MPO887348,3625,33,(4183) Cuno,2025-01-12
19,04450,17.28,0.15,K2555,305.90206,291.99702,311.66821,5.52407,0.5866135,0.56901973,1.4422853,MPO901222,1494,26,(4450) Pan,2025-01-23
20,04486,15.61,0.15,K2555,216.37041,169.21037,82.19245,3.03642,0.6607934,0.30065485,2.2067708,MPO887352,1871,29,(4486) Mithra,2024-12-31
21,04581,20.74,0.15,K2555,42.74281,255.3815,180.1993,4.91783,0.3569784,0.95320011,1.0225393,MPO727528,411,13,(4581) Asclepius,2021-04-18
22,04660,18.75,0.15,K2555,300.88104,159.54911,313.10929,1.45355,0.3587996,0.54466291,1.4849694,MPO840883,4908,20,(4660) Nereus,2024-01-02
23,04769,17.41,0.15,K2555,143.9453,121.44565,325.50604,8.88464,0.4831911,0.89913909,1.0631261,E2025-M29,624,19,(4769) Castalia,2025-06-18
24,04953,14.89,0.15,K2555,20.50652,77.92723,77.52941,24.37967,0.6574426,0.47732335,1.6215397,E2025-M29,2918,32,(4953) 1990 MU,2025-06-18
25,05011,16.7,0.15,K2555,267.85588,105.95657,10.62495,7.40984,0.5001949,0.47105932,1.6358833,MPO776018,628,24,(5011) Ptah,2023-09-25
26,05189,17.84,0.15,K2555,359.6415,159.94494,135.05111,3.57949,0.478321,0.5099304,1.551656,E2024-JQ5,1555,22,(5189) 1990 UQ,2024-01-10
27,05604,17.38,0.15,K2555,129.86204,82.77029,311.9404,4.6983,0.4065233,1.09895764,0.9299981,E2025-L46,1178,21,(5604) 1992 FE,2025-06-06
28,05693,16.78,0.15,K2555,340.78092,258.97995,96.97712,5.05892,0.585048,0.68816668,1.2705945,MPO914196,2629,30,(5693) 1993 EA,2025-04-08
29,06037,18.86,0.15,K2555,27.19485,242.32869,182.1743,3.51278,0.4996941,0.68746747,1.2714558,MPO840903,1109,19,(6037) 1988 EG,2024-07-01
30,06239,18.59,0.15,K2555,24.13207,239.79372,344.48638,3.94171,0.4125031,0.79809088,1.1510685,MPO914204,1810,19,(6239) Minos,2025-02-10
31,06489,19.22,0.15,K2555,202.13609,69.00724,209.11739,2.2611,0.6173077,0.25230939,2.4803546,MPO691616,935,7,(6489) Golevka,2015-11-03
32,06491,18.72,0.15,K2555,191.11114,325.76315,300.21334,6.09967,0.5924072,0.2484107,2.5062392,MPO776044,199,10,(6491) 1991 OA,2023-10-14
33,07335,17.7,0.15,K2555,72.73496,232.27907,61.27897,15.17393,0.4845602,0.41781357,1.7720706,E2024-UQ3,2530,17,(7335) 1989 JA,2024-04-30
34,07341,16.96,0.15,K2555,116.75335,173.50056,294.72504,5.40961,0.5061121,0.39435913,1.8416543,E2024-EH9,2300,20,(7341) 1991 VK,2023-07-22
35,07482,16.59,0.15,K2555,12.42119,47.48833,117.85173,33.46858,0.3294034,0.62924684,1.3487207,E2025-M63,1913,19,(7482) 1994 PC1,2025-06-22
36,07753,18.01,0.15,K2555,206.77217,280.07051,73.38858,3.12465,0.4816137,0.55453519,1.4672923,MPO914224,1270,22,(7753) 1988 XB,2025-04-24
37,07822,17.34,0.15,K2555,348.04427,249.46474,156.84043,37.12213,0.1646184,0.82855783,1.1226753,E2023-R01,3820,9,(7822) 1991 CS,2023-06-25
38,08014,18.88,0.15,K2555,16.83543,114.72631,209.84123,1.86753,0.4559184,0.42678856,1.7471393,MPO887402,1222,12,(8014) 1990 MF,2024-02-10
39,08566,16.47,0.15,K2555,196.71936,125.14928,164.09813,37.97759,0.4302854,0.53310166,1.506362,MPO901274,3346,22,(8566) 1996 EN,2025-02-06
40,09856,17.11,0.15,K2555,13.3158,116.17699,168.10566,9.82933,0.6258294,0.29346625,2.2426626,E2024-AE1,1292,16,(9856) 1991 EE,2024-01-11
41,10115,17.1,0.15,K2555,225.80757,233.71637,8.87723,15.31769,0.324881,0.70638216,1.2486563,MPO901293,2032,17,(10115) 1992 SK,2025-01-18
42,11500,18.37,0.15,K2555,139.26289,289.52378,234.38587,10.3106,0.3558051,0.87829454,1.0798811,MPO691707,1169,15,(11500) Tomaiyowit,2019-08-18
43,12538,15.97,0.15,K2555,60.01487,321.79445,220.69253,24.53488,0.4058325,0.51487802,1.5416998,E2025-M63,11038,18,(12538) 1998 OH,2025-06-21
44,12923,15.8,0.15,K2555,123.19898,147.17228,168.12007,5.30544,0.4921906,0.35839056,1.9629007,MPO901326,2816,21,(12923) Zephyr,2025-02-18
45,13651,17.89,0.15,K2555,30.34831,133.85573,116.63337,17.25095,0.3057861,0.63857761,1.3355503,MPO887478,989,15,(13651) 1997 BR,2024-12-04
46,14827,18.81,0.15,K2555,62.69382,238.25459,57.9187,1.97698,0.6650046,0.20552551,2.8437553,MPO887494,371,7,(14827) Hypnos,2024-12-22
47,16960,14.37,0.15,K2555,9.06539,243.25414,260.15117,17.51885,0.8590616,0.30191626,2.2006199,E2025-M63,2682,27,(16960) 1998 QS52,2025-06-22
48,20425,20.51,0.15,K2555,133.40695,296.31943,227.24631,6.98882,0.4765129,0.5035474,1.5647411,MPO691875,50,4,(20425) 1998 VD35,2005-07-29
49,22753,17.68,0.15,K2555,311.79748,324.82057,307.34882,3.20512,0.5700399,0.73245812,1.2188423,MPO901435,1199,22,(22753) 1998 WT,2025-02-27
50,23187,16.06,0.15,K2555,246.01327,293.53479,164.28356,51.33156,0.5893456,0.39263572,1.8470395,E2025-KA9,2101,21,(23187) 2000 PN9,2025-05-26
51,25143,19.26,0.15,K2555,271.89945,162.84386,69.07638,1.62096,0.2801338,0.64682748,1.32417,MPO887627,1227,11,(25143) Itokawa,2024-12-19
52,26663,18.17,0.15,K2555,211.34498,231.22373,303.58607,13.52943,0.4718151,0.51277265,1.5459169,MPO841179,594,16,(26663) 2000 XK47,2024-07-07
53,27002,18.31,0.15,K2555,289.22922,0.8232,130.33612,8.69801,0.4334471,0.4280493,1.743707,MPO719467,505,14,(27002) 1998 DV9,2022-09-25
54,29075,17.28,0.15,K2555,312.28569,224.8264,356.54705,12.15458,0.5075054,0.44518133,1.6986794,MPO914466,1096,18,(29075) 1950 DA,2025-04-28
55,31669,16.09,0.15,K2555,160.45637,39.10065,78.76674,9.53787,0.5777071,0.31544411,2.1372456,E2025-M63,1192,15,(31669) 1999 JT6,2025-06-21
56,33342,18.02,0.15,K2555,351.03075,167.52238,81.65929,7.36851,0.4176863,1.6176083,0.7187102,MPO901556,1859,17,(33342) 1998 WT24,2025-02-06
57,35107,16.88,0.15,K2555,263.09878,206.93999,139.33448,13.91097,0.1442357,0.81258228,1.1373422,E2025-M63,4684,7,(35107) 1991 VH,2025-06-22
58,35396,17.01,0.15,K2555,25.95279,103.03066,213.6529,4.09946,0.4836899,0.56909375,1.4421602,E2024-JQ5,2287,19,(35396) 1997 XF11,2024-01-19
59,37638,19.28,0.15,K2555,311.05696,323.21315,145.56049,5.07847,0.5200158,0.3725502,1.9128438,E2023-WD3,921,7,(37638) 1993 VB,2023-05-21
60,37655,17.85,0.15,K2555,4.71808,303.90874,139.51769,18.03298,0.7524744,0.54869405,1.4776873,MPO841315,645,18,(37655) Illapa,2024-06-27
61,38071,19.57,0.15,K2555,227.38832,8.79846,195.48961,12.73671,0.5072361,0.32625916,2.0897495,MPO727980,459,7,(38071) 1999 GU3,2023-01-25
62,39572,16.56,0.15,K2555,273.66962,344.84486,313.4983,10.02904,0.4927806,0.3392251,2.0361545,MPO914585,817,20,(39572) 1993 DQ1,2025-03-28
63,41429,20.66,0.15,K2555,140.89982,297.27771,351.85618,2.17266,0.5553656,0.49017367,1.5930744,MPO887837,409,20,(41429) 2000 GE2,2024-12-02
64,52760,17.52,0.15,K2555,39.80471,20.37916,338.66485,2.42511,0.6234326,0.26356592,2.4092205,MPO914702,681,11,(52760) 1998 ML14,2025-03-22
65,52768,16.02,0.15,K2555,134.93091,174.58027,26.93204,5.87874,0.5756139,0.26851123,2.3795477,E2024-TA7,5888,21,(52768) 1998 OR2,2024-10-05
66,53319,15.35,0.15,K2555,272.66216,166.78621,133.62467,13.83892,0.6414414,0.21925421,2.723772,MPO914708,1384,18,(53319) 1999 JM8,2025-03-30
67,53426,17.19,0.15,K2555,241.80874,43.39526,239.04476,22.76598,0.5395869,0.36974834,1.922495,E2024-AE1,1162,11,(53426) 1999 SL5,2024-01-11
68,53429,18.9,0.15,K2555,350.15407,64.08913,199.15837,26.78077,0.6411394,0.3427777,2.0220614,MPO914709,156,5,(53429) 1999 TF5,2025-04-01
69,53550,19.06,0.15,K2555,174.98965,325.01094,313.11924,7.17685,0.4195869,0.53893974,1.4954638,MPO887989,426,15,(53550) 2000 BF19,2024-12-19
70,53789,17.35,0.15,K2555,359.73328,218.36177,190.0175,40.78469,0.2692432,0.61426494,1.3705627,MPO841503,1113,11,(53789) 2000 ED104,2024-06-18
71,65679,19.61,0.15,K2555,61.22155,15.00666,178.05608,1.30301,0.2645364,1.12638467,0.9148395,MPO888138,1120,13,(65679) 1989 UQ,2024-11-26
72,65690,19.06,0.15,K2555,327.8237,63.40609,180.0819,11.14185,0.3632686,0.57775895,1.4277043,MPO901904,1127,16,(65690) 1991 DG,2025-02-19
73,65717,20.87,0.15,K2555,224.1856,290.96704,174.74767,2.8092,0.2810015,0.59795581,1.3953719,MPO841633,5557,7,(65717) 1993 BX3,2021-05-16
74,65803,18.11,0.15,K2555,73.56985,319.59494,72.98488,3.41409,0.3832818,0.46818513,1.6425716,MPO914833,5501,16,(65803) Didymos,2025-02-27
75,65909,19.3,0.15,K2555,9.88517,284.51599,108.5919,3.5605,0.5397023,0.86482602,1.091064,MPO888140,504,16,(65909) 1998 FH12,2023-04-12
76,66391,16.64,0.15,K2555,319.75367,192.65081,244.89696,38.88044,0.6884009,1.91426872,0.642393,MPO841641,4210,23,(66391) Moshup,2024-07-07
77,67367,17.08,0.15,K2555,20.64641,184.82916,264.50941,9.02397,0.2127062,0.65850161,1.3084732,MPO841654,553,14,(67367) 2000 LY27,2024-07-07
78,67381,19.8,0.15,K2555,167.93173,266.94958,294.83493,10.66851,0.5429714,0.64955255,1.3204639,MPO776947,215,8,(67381) 2000 OL8,2023-10-12
79,68216,16.57,0.15,K2555,71.78489,48.7551,18.12807,17.99261,0.3267059,0.64996929,1.3198994,E2025-K95,2906,11,(68216) 2001 CV26,2025-05-24
80,68346,16.92,0.15,K2555,240.31293,140.27905,219.36987,16.69631,0.4165126,0.53251871,1.5074612,E2025-KD6,1130,19,(68346) 2001 KZ66,2025-05-22
81,68347,19.92,0.15,K2555,201.41973,243.82169,245.85375,17.13193,0.379875,1.04520485,0.9616162,MPO692779,595,9,(68347) 2001 KB67,2021-10-16
82,68372,18.95,0.15,K2555,253.71603,322.32276,252.96138,8.10632,0.4157317,0.47872687,1.6183689,MPO888167,367,13,(68372) 2001 PM9,2024-12-03
83,68548,16.56,0.15,K2555,274.90572,24.70325,302.02229,22.71479,0.4367454,0.44186218,1.7071755,MPO914856,1288,14,(68548) 2001 XR31,2025-04-23
84,68950,16.39,0.15,K2555,235.95438,255.56988,236.20473,25.15224,0.3443087,0.90695419,1.0570101,MPO728345,2810,18,(68950) 2002 QF15,2021-10-15
85,69230,17.68,0.15,K2555,11.98189,92.90281,34.05073,6.06774,0.6238995,0.46295338,1.6549233,E2025-M51,2821,17,(69230) Hermes,2025-06-19
86,85182,17.13,0.15,K2555,118.87998,243.24273,339.38876,3.11917,0.7776201,0.29794576,2.2201275,MPO888369,740,16,(85182) 1991 AQ,2024-11-29
